Lecture Date,index,%correct,%correct 2nd time,avg%correct
8/30/18,2,53.33333333,59.5,56.41666667
9/4/18,9,64.44444444,90.5,77.47222222
9/6/18,17,76,73,74.5
9/11/18,22.5,50,66,58
9/13/18,27.5,76.33333333,81,78.66666667
9/18/18,34,68.71428571,82,75.35714286
9/20/18,41,79,,79
9/25/18,47.5,64.16666667,78,71.08333333
9/27/18,53,76,80,78
10/2/18,60,60.875,68.33333333,64.60416667
10/4/18,68,71.71428571,66,68.85714286
10/11/18,74.5,59.83333333,69.5,64.66666667
10/16/18,80.5,60.33333333,,60.33333333
10/18/18,86,57.2,74,65.6
10/23/18,91,55.4,78.25,66.825
10/25/18,96,55.4,64.33333333,59.86666667
10/30/18,104,43.7,74,58.85
11/1/18,113.5,47.5,58.5,53
11/8/18,119.5,62.25,70,66.125
11/13/18,124,50.75,69,59.875
11/15/18,129.5,48.2,46,47.1
11/27/18,134.5,45.75,,45.75
11/29/18,139.5,60.66666667,86,73.33333333
12/4/18,145.5,36,,36
12/6/18,152.5,58,,58